student_name,Maths_marks,science_marks,english_marks,SocialStudies_marks,language_marks,Average_Score,Performance
Mr. Gregory Homenick,69,24,52,4,83,46.4,Needs Improvement
Marlene Leffler IV,62,59,70,54,52,59.4,Needs Improvement
Josephine Ebert,29,76,13,8,19,29.0,Needs Improvement
Dr. Irene Green,44,66,14,2,14,28.0,Needs Improvement
Jake Huel,49,23,63,86,68,57.8,Needs Improvement
Ralph Schuster,69,28,55,37,77,53.2,Needs Improvement
Lila Schmidt,91,10,19,55,38,42.6,Needs Improvement
Ms. Naomi Rau,65,70,83,3,25,49.2,Needs Improvement
Maryann Marquardt,28,31,27,75,37,39.6,Needs Improvement
Edna Von,11,51,86,77,11,47.2,Needs Improvement
Dr. Deborah Harvey,59,23,43,47,73,49.0,Needs Improvement
Mrs. Angie Schowalter,88,23,84,52,28,55.0,Needs Improvement
Shirley Zulauf,2,60,94,53,78,57.4,Needs Improvement
Miss Madeline Parisian,30,86,92,89,70,73.4,Average
Armando Pollich PhD,91,64,38,70,35,59.6,Needs Improvement
Marvin Lehner MD,63,20,17,79,39,43.6,Needs Improvement
Ira Oberbrunner,38,62,97,92,34,64.6,Needs Improvement
Eula Ankunding-Feeney,12,99,50,14,48,44.6,Needs Improvement
Conrad Greenholt II,5,20,22,21,54,24.4,Needs Improvement
Julie Dicki,22,69,79,79,67,63.2,Needs Improvement
Mr. Javier Reinger,7,54,70,10,52,38.6,Needs Improvement
Edith Gorczany,60,48,94,71,98,74.2,Average
Amanda Upton,16,77,42,47,75,51.4,Needs Improvement
Jonathon Ruecker,99,30,1,21,63,42.8,Needs Improvement
Leon Purdy,10,45,36,93,59,48.6,Needs Improvement
Monique Zboncak,88,48,22,63,91,62.4,Needs Improvement
Crystal Legros,66,53,42,38,5,40.8,Needs Improvement
Alicia Farrell,41,46,89,32,80,57.6,Needs Improvement
Mr. Dennis Ledner,8,60,65,5,30,33.6,Needs Improvement
Tracy D'Amore,67,56,28,82,23,51.2,Needs Improvement
Lindsay Goodwin,24,76,41,48,39,45.6,Needs Improvement
Adam Shields,83,88,70,6,58,61.0,Needs Improvement
Delbert Torp,18,87,60,95,52,62.4,Needs Improvement
Tammy Runolfsdottir,9,59,43,73,65,49.8,Needs Improvement
Lonnie Schimmel,64,62,71,48,41,57.2,Needs Improvement
Rolando Crona,7,72,7,51,21,31.6,Needs Improvement
Rachael Lowe,7,98,41,27,25,39.6,Needs Improvement
Erica Connelly,55,69,2,63,79,53.6,Needs Improvement
John Schultz,97,11,52,94,24,55.6,Needs Improvement
Lowell Bartell,94,67,63,87,87,79.6,
Marc Hermiston,99,94,38,12,3,49.2,Needs Improvement
Raquel Kuhlman,41,88,25,57,38,49.8,Needs Improvement
Rudy Auer,72,71,4,74,31,50.4,Needs Improvement
Cora Gutmann,32,94,68,71,61,65.2,Needs Improvement
Reginald McCullough,13,88,17,6,59,36.6,Needs Improvement
Doyle Thompson,100,40,10,90,12,50.4,Needs Improvement
Katrina Ebert-Romaguera Jr.,14,38,46,71,3,34.4,Needs Improvement
Harry Predovic,78,95,92,7,68,68.0,Needs Improvement
Mr. Neil Wunsch,78,83,91,77,34,72.6,Average
Tricia Schneider III,10,48,90,67,22,47.4,Needs Improvement
Mr. Rudolph Turner,71,18,78,32,59,51.6,Needs Improvement
Alan Lebsack,34,87,29,84,96,66.0,Needs Improvement
Donnie Gerlach,52,7,34,87,39,43.8,Needs Improvement
Mr. Roy Ernser III,62,48,42,10,55,43.4,Needs Improvement
Christopher Cronin,36,28,59,40,47,42.0,Needs Improvement
Silvia Dietrich,13,45,74,11,16,31.8,Needs Improvement
Gail Blick,9,79,13,73,83,51.4,Needs Improvement
Mrs. Naomi Ernser,58,61,76,38,64,59.4,Needs Improvement
Hubert Swaniawski,2,9,43,24,70,29.6,Needs Improvement
Andre McLaughlin,28,94,74,83,40,63.8,Needs Improvement
Mr. Patrick Crona,65,34,47,83,31,52.0,Needs Improvement
Bob Beier,4,40,20,26,70,32.0,Needs Improvement
Mrs. Claire Bauch,51,26,66,32,8,36.6,Needs Improvement
Meghan Jast,79,48,32,3,58,44.0,Needs Improvement
Craig Beatty,61,18,33,49,7,33.6,Needs Improvement
Phyllis Reilly Jr.,70,41,21,44,44,44.0,Needs Improvement
Carole Lubowitz,54,95,79,97,43,73.6,Average
Andres Lemke,97,78,64,64,82,77.0,Average
Jeremy Davis,62,10,62,60,33,45.4,Needs Improvement
Perry Kerluke,48,67,89,60,65,65.8,Needs Improvement
Drew Ferry,18,4,6,93,56,35.4,Needs Improvement
Kendra Marks,31,89,31,55,27,46.6,Needs Improvement
Yvonne Kuhlman,47,11,49,43,27,35.4,Needs Improvement
Traci Miller,38,58,34,100,54,56.8,Needs Improvement
Mr. Grady Kertzmann,70,29,79,23,78,55.8,Needs Improvement
Gerardo Kihn,53,9,24,36,31,30.6,Needs Improvement
Mr. Gregg Gusikowski,75,72,93,43,31,62.8,Needs Improvement
Charles Stiedemann,36,89,22,96,25,53.6,Needs Improvement
Hilda Treutel,55,64,47,34,47,49.4,Needs Improvement
Juanita Howell,10,52,76,30,53,44.2,Needs Improvement
Jessie Mohr,53,43,94,3,21,42.8,Needs Improvement
Jeremy Metz,9,69,33,6,82,39.8,Needs Improvement
Gilberto Gibson,29,68,87,20,31,47.0,Needs Improvement
Eileen Ondricka,2,4,55,74,39,34.8,Needs Improvement
Mr. Albert Hoeger,43,73,82,27,31,51.2,Needs Improvement
Mr. Marcus Heathcote Sr.,28,41,37,34,54,38.8,Needs Improvement
Matthew MacGyver,94,59,91,74,78,79.2,
Marcella Funk,85,98,65,86,16,70.0,Average
Tommy Mante,80,67,81,32,25,57.0,Needs Improvement
Cristina Conn,67,42,32,63,65,53.8,Needs Improvement
Amber Windler,88,50,49,77,24,57.6,Needs Improvement
Leticia Senger III,81,90,66,15,21,54.6,Needs Improvement
Mr. Patrick Mueller,81,81,5,45,36,49.6,Needs Improvement
Cedric Bergstrom Jr.,49,74,36,57,66,56.4,Needs Improvement
Elizabeth Ward,73,91,72,33,44,62.6,Needs Improvement
Renee Schinner,69,99,73,62,32,67.0,Needs Improvement
Marguerite Ebert,32,62,82,99,42,63.4,Needs Improvement
Jorge Bednar,77,56,46,79,25,56.6,Needs Improvement
Mrs. Roxanne Jacobi,54,66,70,49,20,51.8,Needs Improvement
Dean Schowalter,28,49,78,80,79,62.8,Needs Improvement
